lexicon,explanation
creditor's voluntary winding up," if a company is insolvent (cannot pay its debts when they are due for payment) the members can pass a special resolution to have the company wound up (liquidated). This is called a creditors' voluntary winding up.,"
criminal damage," the criminal offence of causing damage to someone else's property either recklessly or intentionally.,"
criminal responsibility," when someone reaches the age when the law says they are able to commit a criminal offence they have reached the age of criminal responsibility.,"
cross-examine," to question a witness for the other side in a case.,"
crown court," the court where people indicted of criminal offences are tried.,"
culpa," blameworthiness or a fault (This word is Latin).,"
cum dividend," with dividend. If a share is sold cum dividend, the buyer will receive the dividend that was declared just before the share was bought.,"
cumulative preference shares," shares which carry forward unpaid dividends. If dividends on these shares have not been paid in previous years the arrears must be paid before a dividend can be paid on the ordinary shares.,"
curfew," a court ordering someone to stay at a named place at stated times of the day.,"
customs and excise," a government department responsible for administering (managing) value added tax, customs duties and excise duties.,"
customs duties," duties which are charged on imports of goods into the country and on some exports.,"
damages," the name for money awarded by a court as compensation.,"
dangerous driving," a standard of driving which falls far below that of a careful, competent driver and it would be obvious to such a driver that it was dangerous to drive that way. A driver found guilty of dangerous driving would be disqualified from driving by the court.,"
de facto," in fact or in reality (This term is Latin).,"
de jure," rightfully (This term is Latin).,"
de minimis non curat lex," the law will not take account of trifling matters (This phrase is Latin).,"
debenture," a document issued by a company which acknowledges that some or all of the company's assets are security for a debt (usually to a bank). It is also the name for certain long-term loans to companies.,"
debt," money owed.,"
debt securities," debts which can be bought and sold, such as debentures.,"
debtor," someone who owes you money.,"
deceit," when one person deliberately misleads a second person with a statement which causes the second person to do something that causes them damage.,"
decree," an order by a court.,"
decree absolute," the final court order which ends a marriage.,"
decree nisi," a provisional court order which orders that a marriage should be dissolved.,"
deed," a legal document which commits the person signing it to something.,"
deed of arrangement," a written agreement which can be made, when a debtor is in financial trouble, between the debtor and the creditors. It is inteded to benefit the creditors and avoid the bankruptcy of the debtor. The creditors get a proportion of the money owing to them.,"
defamation," making a statement, either orally or in writing, which damages someone's reputation.,"
default," failing to do something which had been agreed to.,"
defence," the name for the team of people (lawyers and so on) against proceedings brought against someone. It is also in a civil case a written statement (pleading) by the defendant setting out the facts that the defence will rely on.,"
defendant," a person defending a court action which has been taken against them.,"
dependant," someone who depends on someone else for financial support.,"
deponent," a person who swears on oath that a statement is correct.,"
deposition," a statement, by a witness, made under oath.,"
depreciation," the drop in value of an asset due to wear and tear, age and obsolescence (going out of date), as recorded in an organisation's financial records.,"
derogation," damaging someone's rights or entitlements.,"
determination," ending an agreement.,"
devise," to leave land in a will.,"
devisee," the person who is left freehold property or land in a will.,"
diminished responsibility," a defence sometimes used for someone charged with murder, that they suffered lowered powers of reasoning and judgement because of their unusual state of mind. If their defence succeeds they will be convicted of manslaughter.,"
diocese," the area covered by a bishop's authority.,"
diplomatic immunity," immunity given to certain members of foreign embassies, such as ambassadors, for crimes they may have committed.,"
directing," judges must give juries instructions on points of law. This is called directing the jury.,"
direction," judges must give juries instructions on points of law. This is called directing the jury.,"
director," a person appointed to help manage a company's affairs.,"
disbursement," a payment made by a professional person, such as a solicitor or accountant, on behalf of a client. The money is claimed back by including it on the bill for professional services which is sent to the client.,"
discharge," release from a commitment such as a debt; a contract because it has finished or the parties agree to end it; or a punishment for a crime.,"
disclaim," to give up a claim or a right or refuse to take over an onerous (having more obligations than advantages) contract. A disclaimer can also be a notice to limit responsibility.,"
disclaimer," to give up a claim or a right or refuse to take over an onerous (having more obligations than advantages) contract. A disclaimer can also be a notice to limit responsibility.,"
discovery," one party in a civil case revealing to the other party the documents relevant to the case under the first party's control and allowing them to be inspected.,"
discretionary trust," a trust in which the trustees can decide who will benefit from the trust and how much they will get.,"
disposal," selling, transferring or giving away something.,"
dispose of," selling, transferring or giving away something.,"
distrain," to seize goods as security for an unpaid debt.,"
distress," to seize goods as security for an unpaid debt.,"
divorce," the legal end to a marriage.,"
divorce petition," an application for the legal ending of a marriage.,"
domicile," the country where your permanent home is, even if you are living somewhere else for now.,"
domicile of choice," the country in which you make your home, intending it to be permanent.,"
domicile of origin," the domicile a newborn child has. This is usually its father's domicile or, if the father is dead, its mother's.,"
domiciled," permanently based in a country.,"
drawee," the organisation which will pay a bill of exchange (such as a cheque). In the case of a cheque, this is the bank that the cheque is drawn on.,"
drawer," the person or organisation that has written a bill of exchange, such as a person who has written a cheque.,"
duress," threatening or pressurising someone to do something.,"
duty," a levy charged by the Government, usually when things are bought, such as shares or buildings.,"
easement," a right to use someone else's land, such as a right of way.,"
enabling legislation," legislation which authorises government ministers or bodies to create detailed rules to accomplish general principles set out in the legislation. For example it may allow a minister to create rules or laws for a particular body, such as the police, to follow.,"
endorsement," a change to the original terms of a contract, such as an insurance policy.,"
endowment policy," a type of insurance policy which will pay out a lump sum on a fixed date in the future, or when you die if this happens earlier.,"
enduring power of attorney," a power of attorney which takes effect in the future. If a person is capable of dealing with their own affairs at present, they can sign an enduring power of attorney. It will only come into effect when they are no longer capable of looking after their own affairs. It gives authority to the person appointed to act for the person who signed the power of attorney.,"
engrossment," preparing the final version of a legal document ready for it to be executed (made valid such as with a signature).,"
equitable mortgage," the type of mortgage where the purchaser owns the property which is security for the mortgage.,"
escrow," a deed which has been supplied but cannot become effective until a future date, or until a particular event happens.,"
estate," is all a person owns at the date of their death; or the right to use land for a period of time.,"
estimate," an offer to do stated work for a set price.,"
estoppel," a rule of law that a person cannot deny something they previously said, if someone else acted on what was said and their position was changed, possibly for the worse, as a result.,"
et seq," 'and in the following pages'. It is sometimes written in books and documents (This phrase is abbreviated from the Latin 'et sequeus').,"
euthanasia," killing someone to end their suffering.,"
ex dividend," without dividend. If a share is sold ex dividend, the seller will receive the dividend declared just before it was sold.,"
ex gratia," describing something done or given as a favour rather than a legal obligation (This term is Latin).,"
ex parte," done by one side only in a case (This term is Latin). It is often replaced with 'without notice'.,"
ex post facto," describing a law which is retrospective (it affects past acts as well as future ones) (This term is Latin).,"
ex works," available from the factory. When something is sold ex works the buyer can collect it from the place it was manufactured or from some other place agreed by the buyer and seller.,"
excess of jurisdiction," someone such as a judge acting without authority.,"
exchange of contract," swapping identical contracts. When land is sold, the person selling and the person buying both sign identical copies of the contract and exchange them. The contract is then binding on both of them.,"
excise duty," a type of tax levied on certain goods such as petrol. It is also levied on some activities such as gambling and on certain licences for activities (such as driving a car on the public roads).,"
exclusions," the things an insurance policy does not provide cover for. They will be listed in the insurance policy.,"
exclusive licence," a licence under which only the licence holder has any rights.,"
execute," to carry out a contract.,"
executed," describing a document which is made valid (in the eyes of the law) such as by being signed or sealed.,"
executive director," a director who usually works full time as a director of the company.,"
executor," a man appointed in a will to deal with the estate, according to the wishes set out in the will. Today it is often used to refer to a woman as well.,"
executory," describing something, such as a contract, which has not been started yet.,"
executrix," a woman appointed in a will to deal with the estate according to the wishes set out in the will.,"
exemplary damages," damages given as a punishment for the defendant.,"
expert witness," an expert in a particular field who is called to give an opinion in a court case.,"
extradition," the handing over of a criminal to the country the crime was committed in.,"
extraordinary general meeting," a general meeting of the members of a company which is not the annual general meeting.,"
extraordinary resolution," a resolution for consideration by the members of a company at a general meeting of the members.,"
factor, is someone buying or selling for a commission
false imprisonment," wrongfully keeping someone in custody (for example in prison).,"
false pretence," misleading someone by deliberately making a  false statement.,"
false representation," lying in a statement to persuade someone to enter a contract.,"
family division," the part of the High Court dealing with marriage breakdowns and probate.,"
felony," the former term used for serious crimes such as rape or murder. It is still in use in the USA.,"
feme covert," a woman who is married.,"
feme sole," a woman who is not married or no longer married.,"
feu," a lease which lasts for ever.,"
feu duty," a yearly charge on a feu (which only applies in Scotland).,"
fiduciary," in a position of trust. This includes people such as trustees looking after trust assets for the beneficiaries and company directors running a company for the shareholders' benefit.,"
final judgement," the court's final decision in a civil case.,"
fitness to plead," whether or not the person charged is capable of making an informed decision. If, because of mental illness, a person charged with an offence is unable to understand what is going on the person may not be fit to plead guilty or not guilty.,"
fixed charge," a charge which provides security for money lent. The charge is over a specific property.,"
floating charge," a charge used to provide security for money lent to a company. The charge is over the company's liquid assets (such as stocks and debtors) but it is only triggered by an event such as liquidation.,"
forbearance," when one party to an agreement does not pursue rights under the agreement even though the other party has not kept to its terms. An example would be someone not suing to recover an overdue debt.,"
force majeure," an event which cannot be controlled and which stops duties under an agreement from being carried out (This phrase is French).,"
foreclosure," repossessing property. If a mortgagor (the borrower) has failed to keep up the repayments on a mortgage, the mortgagee (the lender) may apply to the High Court for an order that the debt be repaid by a particular date. If the debt is not repaid the property will be repossessed. This procedure is called foreclosure.,"
forfeiture," the loss of possession of a property because the tenancy conditions have not been met by the tenant.,"
fostering," looking after other people's children. Sometimes children are looked after by people who are not their parents (natural or adopted). It usually happens because the parents cannot look after the children properly because of changed circumstances such as illness.,"
fraud," lying or deceiving to make a profit or gain an advantage, or to cause someone else to make a loss or suffer a disadvantage.,"
fraudulent conveyance," ownership of land being transferred without consideration and with the intention of defrauding someone.,"
fraudulent preference," someone who is insolvent paying one of their creditors while knowing there is not enough money to pay the others.,"
fraudulent trading," running a business with the intention of defrauding its creditors or other people.,"
free of encumbrances," no one else having any rights over something. When property is owned by someone and nobody else has any rights over it, it is owned free of encumbrances.,"
freehold," describing land that only the owner has any rights over.,"
frustration," stopping a contract. Sometimes a contract cannot be carried out because something has happened which makes it impossible. This is called frustration of contract.,"
futures contract," a binding contract to buy or sell something on a date in the future at a fixed price.,"
garnishee order," a court order to a third party who owes money to a judgement debtor to pay the money to the judgement creditor.,"
general damages," damages a court will give to compensate for a wrong done without needing specific proof that damage has been done to the claimant ('plaintiff' before). The court presumes that losses or damage exist such as in a libel case.,"
general meeting," a meeting of the members of a company to make decisions about the company.,"
grant," proof that you are entitled to deal with a dead person's estate. The grant is issued by the Probate Registry.,"
grant of probate," a certificate proving that the executors of a will are entitled to deal with the estate. When a person dies the executors fill in various forms for the Probate Registry. The forms are then sent to the registry together with the will and the death certificate. A registrar examines all the documents and, once satisfied with everything, issues the grant of probate.,"
grievous bodily harm," intentionally causing serious physical harm to someone. This is more serious than actual bodily harm.,"
guarantee," a promise by a person (the guarantor) to repay a debt owed by a second person if the second person fails to repay it. For example, a guarantee is sometimes required by a bank before it will lend money to a customer.,"
guarantee company," a company whose members only have to pay the amount they have agreed to contribute, if the company has to be wound up. They do not have to pay in extra money if there is not enough to pay all the company's debts.,"
guarantor," a person or organisation that promises to pay a debt owed by a second person, if the second person fails to repay it.,"
guardian," a person appointed formally to look after the interests of a child, or of someone who is not capable of looking after their own affairs.,"
guilty," a court's verdict that the person charged with a crime committed it.,"
habeas corpus," a writ which can be applied for to order a person's release if they have been imprisoned unlawfully.,"
harassment of debtors," the illegal act of attempting to collect a debt by threatening, or habitually acting in a way that humiliates or distresses, a debtor.,"
harassment of occupiers," the illegal act by a landlord of using, or threatening to use, violence, or interfering with the tenant's enjoyment of the property, in an attempt to repossess the property.,"
hearsay evidence," evidence given in court of something said to the witness by another person.,"
hereditament," any property which is capable of being inherited.,"
high court," high court (of justice). Part of the Supreme Court.,"
hire," to pay to borrow something for a period.,"
hire purchase," a form of credit which allows the purchaser to have possession of the goods shown in the hire purchase agreement. Ownership passes to the purchaser when the fee and all the instalments have been paid.,"
holding company," a company which controls another company, usually by owning more than half of its shares.,"
hostile witness," a witness who refuses to testify in support of the people who called them; or testifies in a way which differs from their previous statement.,"
house of lords," the highest court in the UK.,"
housing associations," organisations run to provide housing for people. They are not intended to make a profit.,"
hypothecation," a person giving a bank authority to sell goods which have been pledge to the bank as security for a loan.,"
indict," using legal means, to officially accuse someone of committing an offence.,"
indictable offence," an offence which can be tried by jury in the court.,"
indictment," a document setting out the details of the offence a defendant is accused of.,"
injuction," an junction is an order by a court requiring someone to do something; or not to do something.,"
intangible property," property which does not physically exist, such as a right or a patent.,"
interest," a legal right to use property.,"
interlocutory judgement," a provisional judgement (this had been replaced with the phrase 'Judgement for an amount and costs to be decided by the court').,"
interlocutory proceeding," the first things to be done before a civil case comes to trial. They include pleading (preparing the formal written statement) and discovery (stating the documents, under one party's control, which are relevant to the case and making them available to the other party) so that there are no surprises when the trial starts.,"
interlocutory proceedings," the first things to be done before a civil case comes to trial. They include pleading (preparing the formal written statement) and discovery (stating the documents, under one party's control, which are relevant to the case and making them available to the other party) so that there are no surprises when the trial starts.,"
interrogatories," in a civil case, formal questions from one side which the other side must answer under oath.,"
intestacy," when someone dies without leaving a will. Their estate is divided up between their relatives following the rules set by law.,"
intestate," when someone dies without leaving a will. Their estate is divided up between their relatives following the rules set by law.,"
intimidation," threatening or frightening someone into doing something.,"
issue," the legal word for children; or the matter to be decided by a court action.,"
issued share capital," share capital which has been allocated to shareholders who have subscribed for (asked for) shares.,"
joint and several liability," two or more people responsible for repaying a debt. They are each responsible individually to repay all the debt as well as being responsible as a group.,"
joint lives policy," a life assurance policy on more than one person's life. The policy pays out on the first death.,"
joint tenancy," two or more people having identical shares in land.,"
joint will," a single will which two or more people make to cover all their estates. Probate has to be obtained on each death.,"
joyriding," taking a vehicle without permission and using or allowing it to be used without authority.,"
judge," a person whose job is to adjudicate in court cases. Most are barristers but some are solicitors.,"
judge advocate," a lawyer who advises a military court which is trying an offence.,"
judge advocate general," a lawyer who is in charge of military justice in the military.,"
judge advocate general's department," a government department which appoints barristers to advise military courts.,"
judge advocate of the fleet," a lawyer who is in charge of military justice in the navy.,"
judge in chambers," describes a hearing in front of a judge which is not held in court.,"
judgement," a decision by a court.,"
judgement creditor," a person who is owed money and who has ben to court and obtained a judgement for the money owed.,"
judgement debtor," a person who owes the money a court judgement says is owed.,"
judgement in default," getting a judgement against you because you failed to do something. If a civil case has gone to court but the defendant does not do something required by the court (such as turn up), judgement for the claimant ('plaintiff' before) may be given.,"
judgement summons," a summons to appear in court to disclose (reveal) income and assets under oath because a judgement debtor has failed to pay the judgement debt.,"
judicial discretion," a degree of flexibility about the way courts do things.,"
judicial immunity," immunity that a judge normally has from being sued for damages when acting as a judge.,"
judicial precedent," lower courts have to follow the decisions of higher courts. This is called judicial precedent, binding precedent or precedent.,"
judicial separation," a court order that two married eople should live apart.,"
junior barrister," a barrister who is not a Queen's Counsel.,"
jurisdiction," is the territory in which a court can operate; the power it has to deal with particular cases; or the power it has to issue orders.,"
juror," one of the people who are acting as a jury.,"
jury," a group of people (usually 12) who review all the evidence in a court case and then come to a verdict.,"
jury service," serving on a jury. Most people between the ages of 18 and 70 can be required to serve on a jury.,"
just and equitable winding up," a winding up ordered because fairness cannot be achieved for all the members of a company.,"
justice of the peace," a person appointed to act as a magistrate.,"
justification," claiming that a defamatory statement is true. In a defamation case a defendant may admit that the claimant ('plaintiff' before)'s allegations are true but plead that the statement which defamed was true.,"
justifying bail," proving to the court that the person giving the surety has the assets to pay the bail.,"
juvenile offender," a person aged between 10 and 17 who has committed a criminal offence.,"
kerb crawling," the offence committed in a street or public place by a man in a motor vehicle (or near a vehicle he has just got out of) who approaches a woman for sexual services in return for money.,"
kidnap," to take someone away by force against their will.,"
knock for knock," an agreement between insurance companies that they will pay for their own policyholders' losses regardless of who was to blame.,"
know how," the expertise in an organisation which may be protected by a patent.,"
know-how," the expertise in an organisation which may be protected by a patent.,"
land," includes the buildings built on the land; the subsoil; the airspace above the land necessary for ordinary use of the land; and property fixed to the land.,"
land registry," a registry which keep records of registered land.,"
lawsuit," a claim made in a court of law.,"
leading question," a question which suggests the answer to be given; or assumes things to be true which in fact are disputed.,"
lease," a contract between the owner of a property and a tenant, giving the tenant sole use of the property for an agreed time.,"
leasehold," property held by a tenant with a lease.,"
legacy," a gift left to someone in a will, but not including land.,"
legal aid scheme," a scheme for paying legal costs out of public funds for people who cannot afford to pay for them.,"
legatee," the person who receives a legacy.,"
lessee," the person a property has been leased to.,"
lessor," the person who lets a property by lease.,"
letter of credit," a letter one bank sends to a second bank asking them to pay money to a named person.,"
letters of administration," an authority the courts give to a person to deal with a dead person's estate. It is given when someone dies intestate.,"
liabilities," the debts that a person or organisation owes.,"
liability," a debt or obligation.,"
libel," a false statement made in writing or in some other permanent record (such as a film).,"
licence," an authority to do something.,"
licensed conveyancer," a person authorised to do conveyancing (but not including solicitors).,"
licensee," the holder of a license to do something.,"
lien," the right to keep possession of something owned by someone who owes a debt, until the debt has been settled.,"
life assurance policy," a contract between the policyholder and the insurance company. The insurance company pays out if the policyholder dies.,"
life assured," the person whose life is assured by a life assurance policy.,"
life imprisonment," a sentence given to a criminal to be imprisoned for the rest of their life (though may release them early on parole).,"
life insurance policy," a contract between the policyholder and the insurance company. The insurance company pays out if the policyholder dies.,"
life interest," an interest which will pass to someone else when the present owner dies.,"
life tenant," someone entitled to use property for the rest of their life.,"
limited company," a company which limits how much its members will have to pay if the company is wound up. The members of most limited companies will only have to pay any money unpaid on their shares. If a company limited by guarantee is wound up, the money its members have to pay is limited to the amount shown in the memorandum of association.,"
liquidated damages," damages agreed beforehand by the parties to a contract in case one of them should later break the terms of the contract.,"
liquidation," the process of winding up a company by disposing of its assets, paying its creditors in a strict order of priority and distributing any money left among the members.,"
liquidator," the person appointed to wind up a company.,"
litigant," a person involved in a lawsuit.,"
litigation," taking legal action through the courts.,"
loan capital," money borrowed by an organisation.,"
loan creditor," a person or organisation which has lent money to an organisation.,"
magistrate," a justice of the peace who presides over (is in charge of) minor cases heard in the magistrates' court.,"
magistrates' court," the lowest court. The things it deals with include minor criminal cases, most criminal cases involving 10- to 17-year-olds, issuing alcoholic drink licences and hearing child welfare cases.,"
maintenance," money paid (and things paid for) to support a partner (husband or wife) and children when a marriage has failed.,"
majority," the age when a person gains full legal rights and responsibilities.,"
male issue," male descendants (sons only) of men.,"
malfeasance," an unlawful act.,"
malice," intending to do something which is against the law.,"
malice aforethought," planning to kill someone or intending to do something which is likely to kill.,"
malicious falsehood," a written or spoken lie told to harm somebody and which does do harm.,"
malicious prosecution," a prosecution which is brought unreasonably.,"
mandate," an authority to act given by one party to another. An example is when a bank's customer writes instructions on the mandate for the bank to follow when operating the customer's account.,"
manslaughter," killing someone illegally but by accident.,"
market overt," a lawful market in which, as long as someone buying goods is not aware that they do not belong to the seller the buyer will get a good title to the goods.,"
martial law," government of a country by the military.,"
master of the rolls," the person in charge of the Civil Division of the Appeal Court; and admitting solicitors to the roll of solicitors in practice.,"
material facts," facts which are a key part of a defence or a claim.,"
matricide," the killing of a mother by her son or daughter.,"
matrimonial causes," the court proceedings to divorce people; to separate a married couple; or to dissolve a marriage.,"
matrimonial home," the house that a husband and wife live in as a married couple.,"
mediation," help from an independent person (a mediator) to solve differences between a husband and wife whose marriage has broken down. The mediator helps them to agree what should be done about their children, money and so on.,"
memorandum and article of association," the memorandum gives details of a company's name, objects (purposes) and share capital. It also sets out the limits of the shareholders' liability if the company has to be wound up. The articles set out the members' rights and the directors' powers.,"
memorandum and articles of association," the memorandum gives details of a company's name, objects (purposes) and share capital. It also sets out the limits of the shareholders' liability if the company has to be wound up. The articles set out the members' rights and the directors' powers.,"
mens rea," the intent to commit a crime and also the knowledge that an act is wrong (This term is Latin).,"
mercantile law," the branch of the law dealing with commerce.,"
merchantable quality," the assumption in the law that goods sold by a business will be fit for their purpose.,"
mesne profits," income lost by a landlord because the property is occupied without the landlord's permission. An example would be a tenant failing to leave the property when the tenancy finished. It is also the profits lost by a landowner when wrongly deprived of the use of his or her land.,"
messuage," a house together with its land and outbuildings.,"
minor," someone who has not yet reached the age when they get full legal rights and responsibilities.,"
minority," being under the age of full legal rights and responsibilities.,"
minutes," a record of the meetings held by members and directors of companies.,"
misadventure," an unexpected accident which happens while lawfully doing something.,"
miscarriage of justice," the court system failing to give justice to someone.,"
misconduct," deliberately doing something which is against the law or which is wrong.,"
misdirection," a judge instructing a jury wrongly.,"
misfeasance," when something is done badly even though it is still legal; or a company officer does something which is a breach of trust or a breach of duty.,"
misrepresentation," a lie told to persuade someone to enter into a contract.,"
mistrial," a trial that has been made invalid.,"
mitigation," putting facts to a judge, after someone has been found guilty, to justify a lower sentence.,"
molest," behaviour by a person which annoys or greatly troubles their children or spouse. The behaviour can include violence, verbal threats and written threats.,"
molestation," behaviour by a person which annoys or greatly troubles their children or spouse. The behaviour can include violence, verbal threats and written threats.,"
money laundering," making money from crime and then passing it through a business to make it appear legitimate.,"
moratorium," an agreement not to take action to recover a debt for an agreed period of time.,"
mortgage," using property as security for a debt. It is also the name for the contract which is signed by the borrower and lender when money is lent using property as security for a loan.,"
mortgagee," the lender of the money which is secured by a mortgage.,"
mortgagor," the person who borrows the money to buy a property. The lending is secured with a mortgage of the property.,"
motive," a reason for a person doing something.,"
muniments," documents which are evidence of a right to something.,"
naked trust," a trust which holds property for a person until they ask the trustee to return it.,"
naturalisation," giving a citizen of one country citizenship of another.,"
negligence," lack of proper care to do a duty properly.,"
negligent," lacking proper care to do a duty properly.,"
negotiable instrument," a document which is signed; is an instruction to pay an amount of money; can have its ownership changed by changing the name it is paid to; and can have its ownership changed simply by being delivered to its next owner.,"
next of kin," a person's closest blood relatives.,"
non-exclusive licence," an agreement giving someone the right to use something but which does not prevent other people being given similar agreements.,"
nondisclosure," the failure by one side to a contract to disclose (reveal) a fact to the other side that would influence their decision to go ahead with the contract.,"
not guilty," a court's verdict that the person charged with a crime did not commit it. When criminal court cases start the defendants are asked for their pleas. If they want to deny they committed the offence they plead not guilty. If a court's verdict is that the prosecution has not proved the defendant committed a crime, the defendant has been found not guilty.,"
not negotiable," cannot be transferred. If a bill of exchange is marked not negotiable it cannot be transferred to someone else.,"
notary," a person (usually a solicitor) who is authorised to certify documents, take affidavits and swear oaths.,"
notice," a warning of something which is about to happen.,"
notice to quit," a notice to end a tenancy on a stated date. It is usually sent by the landlord to the tenant although the tenant can also send one to the landlord.,"
novation," replacing an existing agreement with a new one.,"
nuisance," doing something that harms other people's rights.,"
oath," swearing the truth of a statement.,"
objects clause," a clause which forms part of a company's memorandum of association. It sets out the purposes the company was formed for.,"
obligation," a legal duty to do something.,"
obligee," someone who, under a contract, receives money or has something done.,"
obligor," someone who is bound by a contract to pay money or do something.,"
obstruction," a motoring offence involving leaving a vehicle or other obstruction in a road; or driving in a way which inconveniences other road users.,"
occupation," taking control of a piece of land which belongs to someone else.,"
occupational pension scheme," a pension scheme organised by an employer for its employees.,"
occupier," the person who is in control of a piece of land, such as a tenant.,"
offensive weapon," an object that is intended to physically injure someone.,"
offer," a promise to do something, or not to do something. If the promise is accepted it becomes legally binding.,"
offeree," the person who receives the legally binding offer.,"
offeror," the person who makes the legally binding offer.,"
office of the judge advocate of the fleet," a government department which appoints barristers to advise naval courts.,"
official receiver," the person appointed to act as a receiver in bankruptcies and company winding-up cases.,"
official secret," information which the Government classifies as confidential. It is a criminal offence to disclose an official secret without permission.,"
official solicitor," an officer of the Supreme Court whose duties include acting for people who cannot act for themselves, such as children or people with mental health problems.,"
omission," a failure to do something.,"
oppression," the offence of public officials using their official positions to harm or injure people.,"
option," a type of contract under which money is paid for a right to buy or sell goods at a fixed price by a particular date in the future.,"
order," an instruction by or command of a court.,"
order in council," an order given by the monarch (King or Queen) after taking advice from the members of the Privy Council.,"
originating summons," a summons that sets out the questions the court is being asked to settle. When the facts in a case are not disputed, but the interpretation of the law or of the documents needs to be resolved, an originating summons is prepared.,"
outlaw," formerly, a person who was not protected by the law.,"
overt act," an act done openly and from which the criminal intention of the act is clear.,"
panel," the list of people who have been summoned for jury service.,"
pardon," releasing someone from a court's punishment. The Crown has the right to alter, cancel or reduce the penalties imposed by the courts.,"
pari passu," equally (This term is Latin).,"
parole," release from prison early. If someone is given parole they may be returned to prison if they offend again.,"
party," the claimant ('plaintiff' before) or defendant in a lawsuit. It is also someone who has taken out a contract or agreement.,"
passing off," pretending that the goods and services offered are those supplied by another business.,"
patent," an official right for a specified period of time to be the only person (or organisation) to make or sell something.,"
patricide," the killing of a father by his own son or daughter.,"
pawn," to pledge goods as security for a loan.,"
payee," the person money is being paid to.,"
payment into court," money paid to the court by the defendant for payment to the claimant ('plaintiff' before).,"
penalty," is a sum of money which has to be paid if the terms of a contract are broken; or a punishment given to someone who commits a crime.,"
penalty points," points given by a court as punishment for driving offences. If enough penalty points have been collected the offenders may have their driving licences taken off them.,"
per," through or by (This word is Latin).,"
per pro," on behalf of (This term is Latin).,"
per quod," in accordance with or whereby (This term is Latin).,"
per se," in itself or by itself (This term is Latin).,"
per stirpes," describes property divided equally between the offspring. If a parent who is a beneficiary under a will dies and the legacy goes to the children in equal shares, the legacy has been divided per stirpes (This term is Latin).,"
performance," doing what is required under a contract.,"
perjury," lying to a court after you have been sworn in.,"
perpetuity," forever. The law prevents properly being tied up in perpetuity because it could stop owners disposing of it.,"
personal guarantee," a pledge, by a person to a bank, to repay a debt owed to the bank if the bank's customer fails to pay it.,"
personal injury," an injury caused to a person.,"
personal property," all property except land.,"
personal representative," a person who is appointed to deal with a dead person's estate. If there is a will, the executors appointed will be the personal representatives. If there is no will, the courts will appoint someone called the administrator.,"
personalty," another word for personal property.,"
personation," pretending to be someone you are not.,"
perverting the course of justice," doing something to interfere with the justice system (such as misleading the court or intimidating witnesses).,"
plaintiff," the person who goes to court to make a claim against someone else (This term has been replaced with 'Claimant').,"
plea," the defendant's answer to the accusations.,"
plea bargain," when the defendant pleads guilty instead of not guilty in return for a concession by the prosecution (such as dropping another charge).,"
plead," to declare to the court whether you are guilty or not guilty.,"
pleadings," statements of the fact prepared by both sides in a civil case. Each side gives the other its pleadings so that they are both aware of what arguments will be used during the trial (This term was replaced with 'statement of case').,"
pledge," letting someone take possession of goods but the ownership does not change. It is often done to give security for money owed or to make sure that something is done as promised.,"
plenipotentiary," someone who has been given complete authority to act.,"
poaching," taking game from someone else's land without permission.,"
polygamy," being married to more than one person at once.,"
possess," to have property under your control.,"
possession," having something under your control even though you may not own it.,"
possessory title," gaining title through possession. If you have possession of something for a long time you may gain title to it even though you do not have documents to prove that it is yours.,"
post mortem," the examination of a dead body to establish the cause of death.,"
post-mortem," the examination of a dead body to establish the cause of death.,"
power of appointment," a person giving a second person the power to dispose of the first person's property.,"
power of attorney," a document which gives power to the person appointed by it to act for the person who signed the document.,"
practising certificate," certificates showing a person is entitled to practise law. Every year the Law Society issues these certificates to the solicitors who can practise law.,"
pre-emption," the right to buy property before others are given the chance to buy.,"
preamble," an explanation of a proposed law. At the beginning of each Act of Parliament there is an explanation of what the Act is intended to achieve.,"
precedent," lower courts have to follow the decisions of the higher courts. This is called precedent, binding precedent or judicial precedent.,"
precept," an order given by an official body or person. It is used by a county council to tell a body to levy (charge) rates for the benefit of the county council; by a sheriff to call an election; or to order payment of a sum of money, such as by a writ or a warrant.,"
preference," when insolvent, paying one creditor while leaving other creditors unpaid.,"
preference shares," a share entitled to a fixed dividend. Holders of preference shares are treated more favourably than ordinary shareholders. The preference dividend is at a fixed rate and must be paid in full before a dividend can be paid on the ordinary shares. When the company is wound up the preference shares must be fully paid out before the ordinary shareholders can be paid.,"
preferential creditor," a creditor who has to be paid in full before unsecured creditors can be paid anything.,"
prima facie," on the face of it (This term is Latin).,"
principal," is someone who authorises another person to act for them; the actual person who committed a crime; or an amount of money lent or invested, not including the interest.,"
privilege," special rights which some people have because of the job they do or their special status. For example, diplomats of foreign countries are immune from arrest in the UK.,"
privity of contract," only the parties to a contract can sue each other over breaches of contract.,"
privy council," a body of people appointed by the Crown. Its members include members of the royal family, present and former cabinet ministers and people who hold or have held high office. Its main duties are advising the Queen.,"
privy purse," money given to the Crown for royal household expenses.,"
pro rata," in proportion. For example, if 10 items cost $100 you would expect three items to cost $30 if they were priced pro rata (This term is Latin).,"
probate," authority to deal with a dead person's estate. When someone has died and left a will, the executors of the estate apply to the court for this authority.,"
probate registry," a registry which deals with the forms which are needed when someone applies for probate.,"
probation," if a court convicts someone of an offence, the court may order that the offender is supervised by a probation officer for a period of at least six months but for no more than three years. This is known as probation and it is an alternative to sending the person to prison.,"
